ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,% Lab Conf (x100),Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
1,Canada,  ,2015,Out,52,0,,0,,0,,0,,0
,,,2016,Out,52,0,,0,,0,,0,,0
,,,2017,Out,52,0,,0,,0,,0,,0
,,,2018,Out,52,0,,0,,0,,0,,0
,,,2019,Out,52,0,,0,,0,,0,,0
,United States of America,  ,2016,Out,52,990,0.31,990,100.00,0,0.00,0,0.000,"324,119"
,,,2017,Out,52,453,0.14,453,100.00,9,1.99,0,0.000,"324,460"
,,,2018,Out,52,331,0.10,331,100.00,6,1.81,0,0.000,"326,767"
,,,2019,Out,52,"1,158",0.35,"1,158",100.00,21,1.81,0,0.000,"326,767"
,,DEN 1,2015,Out,52,945,0.29,945,100.00,6,0.63,0,0.000,"325,128"
,North America,  ,2015,In,,945,0.29,945,100.00,6,0.63,0,0.000,"325,128"
,,,2016,In,,990,0.31,990,100.00,0,0.00,0,0.000,"324,119"
,,,2017,In,,453,0.14,453,100.00,9,1.99,0,0.000,"324,460"
,,,2018,In,,331,0.10,331,100.00,6,1.81,0,0.000,"326,767"
,,,2019,In,,"1,158",0.35,"1,158",100.00,21,1.81,0,0.000,"326,767"
2,Belize,"DEN 1,2,3",2019,Out,52,"13,316","3,485.86","3,186",23.93,109,0.82,0,0.000,382
,,DEN 2,2015,Out,52,"5,691","1,635.34",512,9.00,116,2.04,0,0.000,348
,,,2017,Out,52,"3,042",811.20,47,1.55,2,0.07,0,0.000,375
,,,2018,Out,52,"2,326",608.90,114,4.90,,,0,0.000,382
,,DEN 3,2016,Out,52,"4,899","1,334.88",121,2.47,,,,,367
,Costa Rica,"DEN 1,2",2017,Out,52,"5,561",113.35,"1,036",18.63,2,0.04,0,0.000,"4,906"
,,,2018,Out,52,"2,735",55.22,265,9.69,0,0.00,0,0.000,"4,953"
,,,2019,Out,52,"9,400",189.78,365,3.88,11,0.12,0,0.000,"4,953"
,,"DEN 1,2,3",2015,Out,52,"17,394",347.74,0,0.00,6,0.03,0,0.000,"5,002"
,,,2016,Out,52,"23,319",480.11,0,0.00,21,0.09,0,0.000,"4,857"
,El Salvador,"DEN 1,2,3",2015,Out,52,"50,169",780.72,"9,998",19.93,365,0.73,6,0.012,"6,426"
,,DEN 2,2016,Out,52,"8,789",143.00,124,1.41,206,2.34,1,0.011,"6,146"
,,,2017,Out,52,"4,297",67.37,232,5.40,7,0.16,0,0.000,"6,378"
,,,2018,Out,52,"8,448",131.75,789,9.34,158,1.87,8,0.095,"6,412"
,,,2019,Out,52,"27,470",428.42,768,2.80,106,0.39,14,0.051,"6,412"
,Guatemala,"DEN 1,2,3,4",2015,Out,52,"18,058",111.09,"1,228",6.80,50,0.28,9,0.050,"16,255"
,,,2016,Out,52,"8,844",53.04,330,3.73,47,0.53,1,0.011,"16,673"
,,,2017,Out,52,"4,214",24.91,"1,438",34.12,64,1.52,24,0.570,"16,914"
,,,2018,Out,52,"6,830",39.61,"2,192",32.09,81,1.19,22,0.322,"17,245"
,,,2019,Out,52,"50,432",292.44,"1,429",2.83,113,0.22,66,0.131,"17,245"
,Honduras,  ,2015,Out,52,"44,834",532.22,0,0.00,"1,062",2.37,5,0.011,"8,424"
,,"DEN 1,2",2019,Out,52,"132,143","1,442.92",180,0.14,"19,447",14.72,180,0.136,"9,158"
,,"DEN 1,2,3",2018,Out,52,"7,942",84.34,,,"1,172",14.76,3,0.038,"9,417"
,,DEN 2,2016,Out,52,"22,961",280.35,76,0.33,313,1.36,3,0.013,"8,190"
,,,2017,Out,52,"5,217",56.31,0,0.00,126,2.42,0,0.000,"9,265"
,Mexico,"DEN 1,2,3",2017,Out,52,"89,893",69.60,"14,138",15.73,375,0.42,34,0.038,"129,163"
,,"DEN 1,2,3,4",2015,Out,52,"219,593",175.34,"26,665",12.14,"5,464",2.49,42,0.019,"125,236"
,,,2016,Out,52,"130,069",101.12,"17,795",13.68,806,0.62,34,0.026,"128,632"
,,,2018,Out,52,"78,621",60.13,"12,706",16.16,858,1.09,45,0.057,"130,759"
,,,2019,Out,52,"268,458",205.31,"43,362",16.15,"3,560",1.33,371,0.138,"130,759"
,Nicaragua,DEN 2,2016,Out,52,"88,463","1,438.42","6,616",7.48,,,16,0.018,"6,150"
